Title,Publisher,Publisher_ID,Platform,DOI,Proprietary_ID,Print_ISSN,Online_ISSN,URI,Access_Type,Metric_Type,Reporting_Period_Total,Jul-2020,Aug-2020,Sep-2020,Oct-2020,Nov-2020,Dec-2020,Jan-2021,Feb-2021,Mar-2021,Apr-2021,May-2021,Jun-2021
"Design Science",Cambridge University Press,,Cambridge Core,,CUP:DSJ,,2053-4701,https://www.cambridge.org/core/product/identifier/DSJ/type/journal,OA_Gold,Unique_Item_Investigations,2,1,0,1,0,0,0,0,0,0,0,0,0,
"Design Science",Cambridge University Press,,Cambridge Core,,CUP:DSJ,,2053-4701,https://www.cambridge.org/core/product/identifier/DSJ/type/journal,OA_Gold,Unique_Item_Requests,2,1,0,1,0,0,0,0,0,0,0,0,0,
"The Cambridge Law Journal",Cambridge University Press,,Cambridge Core,,CUP:CLJ,0008-1973,1469-2139,https://www.cambridge.org/core/product/identifier/CLJ/type/journal,Controlled,Total_Item_Investigations,22,0,1,0,0,0,8,0,0,0,13,0,0,
"The Cambridge Law Journal",Cambridge University Press,,Cambridge Core,,CUP:CLJ,0008-1973,1469-2139,https://www.cambridge.org/core/product/identifier/CLJ/type/journal,Controlled,Unique_Item_Investigations,22,0,1,0,0,0,8,0,0,0,13,0,0,
"Infection Control & Hospital Epidemiology",Cambridge University Press,,Cambridge Core,,CUP:ICE,0899-823X,1559-6834,https://www.cambridge.org/core/product/identifier/ICE/type/journal,Controlled,Total_Item_Investigations,7,0,1,0,0,0,0,1,3,1,0,1,0,
"Infection Control & Hospital Epidemiology",Cambridge University Press,,Cambridge Core,,CUP:ICE,0899-823X,1559-6834,https://www.cambridge.org/core/product/identifier/ICE/type/journal,Controlled,Unique_Item_Investigations,7,0,1,0,0,0,0,1,3,1,0,1,0,
"Cambridge Opera Journal",Cambridge University Press,,Cambridge Core,,CUP:OPR,0954-5867,1474-0621,https://www.cambridge.org/core/product/identifier/OPR/type/journal,Controlled,Total_Item_Investigations,1,0,1,0,0,0,0,0,0,0,0,0,0,
"Cambridge Opera Journal",Cambridge University Press,,Cambridge Core,,CUP:OPR,0954-5867,1474-0621,https://www.cambridge.org/core/product/identifier/OPR/type/journal,Controlled,Unique_Item_Investigations,1,0,1,0,0,0,0,0,0,0,0,0,0,
"World's Poultry Science Journal",Cambridge University Press on behalf of World&#x0027;s Poultry Science Association,,Cambridge Core,,CUP:WPS,0043-9339,1743-4777,https://www.cambridge.org/core/product/identifier/WPS/type/journal,Controlled,Total_Item_Investigations,3,0,1,0,0,0,0,0,0,1,0,0,1,
"World's Poultry Science Journal",Cambridge University Press on behalf of World&#x0027;s Poultry Science Association,,Cambridge Core,,CUP:WPS,0043-9339,1743-4777,https://www.cambridge.org/core/product/identifier/WPS/type/journal,Controlled,Unique_Item_Investigations,3,0,1,0,0,0,0,0,0,1,0,0,1,
"Public Health Nutrition",Cambridge University Press,,Cambridge Core,,CUP:PHN,1368-9800,1475-2727,https://www.cambridge.org/core/product/identifier/PHN/type/journal,Controlled,Total_Item_Investigations,55,0,1,5,7,10,0,0,4,5,10,8,5,
"Public Health Nutrition",Cambridge University Press,,Cambridge Core,,CUP:PHN,1368-9800,1475-2727,https://www.cambridge.org/core/product/identifier/PHN/type/journal,Controlled,Unique_Item_Investigations,39,0,1,3,3,7,0,0,4,5,8,6,2,
"Public Health Nutrition",Cambridge University Press,,Cambridge Core,,CUP:PHN,1368-9800,1475-2727,https://www.cambridge.org/core/product/identifier/PHN/type/journal,Controlled,Total_Item_Requests,30,0,0,1,3,3,0,0,3,5,9,5,1,
"Public Health Nutrition",Cambridge University Press,,Cambridge Core,,CUP:PHN,1368-9800,1475-2727,https://www.cambridge.org/core/product/identifier/PHN/type/journal,Controlled,Unique_Item_Requests,24,0,0,1,2,2,0,0,3,5,7,3,1,
"Quarterly Reviews of Biophysics",Cambridge University Press,,Cambridge Core,,CUP:QRB,0033-5835,1469-8994,https://www.cambridge.org/core/product/identifier/QRB/type/journal,Controlled,Total_Item_Investigations,16,0,10,0,0,0,0,0,0,6,0,0,0,
"Quarterly Reviews of Biophysics",Cambridge University Press,,Cambridge Core,,CUP:QRB,0033-5835,1469-8994,https://www.cambridge.org/core/product/identifier/QRB/type/journal,Controlled,Unique_Item_Investigations,11,0,9,0,0,0,0,0,0,2,0,0,0,
"Quarterly Reviews of Biophysics",Cambridge University Press,,Cambridge Core,,CUP:QRB,0033-5835,1469-8994,https://www.cambridge.org/core/product/identifier/QRB/type/journal,Controlled,Total_Item_Requests,2,0,0,0,0,0,0,0,0,2,0,0,0,
"Quarterly Reviews of Biophysics",Cambridge University Press,,Cambridge Core,,CUP:QRB,0033-5835,1469-8994,https://www.cambridge.org/core/product/identifier/QRB/type/journal,Controlled,Unique_Item_Requests,1,0,0,0,0,0,0,0,0,1,0,0,0,
"Archaeological Dialogues",Cambridge University Press,,Cambridge Core,,CUP:ARD,1380-2038,1478-2294,https://www.cambridge.org/core/product/identifier/ARD/type/journal,Controlled,Total_Item_Investigations,1,0,1,0,0,0,0,0,0,0,0,0,0,
"Archaeological Dialogues",Cambridge University Press,,Cambridge Core,,CUP:ARD,1380-2038,1478-2294,https://www.cambridge.org/core/product/identifier/ARD/type/journal,Controlled,Unique_Item_Investigations,1,0,1,0,0,0,0,0,0,0,0,0,0,
"Politics & Gender",Cambridge University Press,,Cambridge Core,,CUP:PAG,1743-923X,1743-9248,https://www.cambridge.org/core/product/identifier/PAG/type/journal,Controlled,Total_Item_Investigations,1,0,1,0,0,0,0,0,0,0,0,0,0,
"Politics & Gender",Cambridge University Press,,Cambridge Core,,CUP:PAG,1743-923X,1743-9248,https://www.cambridge.org/core/product/identifier/PAG/type/journal,Controlled,Unique_Item_Investigations,1,0,1,0,0,0,0,0,0,0,0,0,0,
"Journal of Psychiatric Intensive Care",Cambridge University Press,,Cambridge Core,,CUP:JPI,1742-6464,1744-2206,https://www.cambridge.org/core/product/identifier/JPI/type/journal,Controlled,Total_Item_Investigations,1,0,1,0,0,0,0,0,0,0,0,0,0,
"Journal of Psychiatric Intensive Care",Cambridge University Press,,Cambridge Core,,CUP:JPI,1742-6464,1744-2206,https://www.cambridge.org/core/product/identifier/JPI/type/journal,Controlled,Unique_Item_Investigations,1,0,1,0,0,0,0,0,0,0,0,0,0,
"Annals of Glaciology",Cambridge University Press,,Cambridge Core,,CUP:AOG,0260-3055,1727-5644,https://www.cambridge.org/core/product/identifier/AOG/type/journal,Controlled,Total_Item_Investigations,28,0,4,0,1,9,14,0,0,0,0,0,0,
