Title,Proprietary_ID,Print_ISSN,URI,Online_ISSN,Access_Type,Metric_Type,Reporting_Period_Total,Jul-2020,Aug-2020,Sep-2020,Oct-2020,Nov-2020,Dec-2020,Jan-2021,Feb-2021,Mar-2021,Apr-2021,May-2021,Jun-2021
Language Teaching,CUP:LTA,0261-4448,https://www.cambridge.org/core/product/identifier/LTA/type/journal,1475-3049,Controlled,Unique_Item_Investigations,14,0,0,0,0,10,1,0,0,0,0,3,0
Language Teaching,CUP:LTA,0261-4448,https://www.cambridge.org/core/product/identifier/LTA/type/journal,1475-3049,Controlled,Unique_Item_Requests,3,0,0,0,0,1,1,0,0,0,0,1,0
Studies in Second Language Acquisition,CUP:SLA,0272-2631,https://www.cambridge.org/core/product/identifier/SLA/type/journal,1470-1545,Controlled,Total_Item_Investigations,3,0,0,0,0,3,0,0,0,0,0,0,0
Studies in Second Language Acquisition,CUP:SLA,0272-2631,https://www.cambridge.org/core/product/identifier/SLA/type/journal,1470-1545,Controlled,Unique_Item_Investigations,3,0,0,0,0,3,0,0,0,0,0,0,0
Applied Psycholinguistics,CUP:APS,0142-7164,https://www.cambridge.org/core/product/identifier/APS/type/journal,1469-1817,Controlled,Total_Item_Investigations,8,0,0,0,0,1,5,0,0,1,0,1,0
Applied Psycholinguistics,CUP:APS,0142-7164,https://www.cambridge.org/core/product/identifier/APS/type/journal,1469-1817,Controlled,Unique_Item_Investigations,6,0,0,0,0,1,3,0,0,1,0,1,0
Applied Psycholinguistics,CUP:APS,0142-7164,https://www.cambridge.org/core/product/identifier/APS/type/journal,1469-1817,Controlled,Total_Item_Requests,4,0,0,0,0,0,4,0,0,0,0,0,0
Applied Psycholinguistics,CUP:APS,0142-7164,https://www.cambridge.org/core/product/identifier/APS/type/journal,1469-1817,Controlled,Unique_Item_Requests,2,0,0,0,0,0,2,0,0,0,0,0,0
Journal of Law and Religion,CUP:JLR,0748-0814,https://www.cambridge.org/core/product/identifier/JLR/type/journal,2163-3088,Controlled,Total_Item_Investigations,9,0,0,0,0,1,0,0,0,0,8,0,0
Journal of Law and Religion,CUP:JLR,0748-0814,https://www.cambridge.org/core/product/identifier/JLR/type/journal,2163-3088,Controlled,Total_Item_Requests,9,0,0,0,0,1,0,0,0,0,8,0,0
Journal of Law and Religion,CUP:JLR,0748-0814,https://www.cambridge.org/core/product/identifier/JLR/type/journal,2163-3088,Controlled,Unique_Item_Investigations,6,0,0,0,0,1,0,0,0,0,5,0,0
Journal of Law and Religion,CUP:JLR,0748-0814,https://www.cambridge.org/core/product/identifier/JLR/type/journal,2163-3088,Controlled,Unique_Item_Requests,6,0,0,0,0,1,0,0,0,0,5,0,0
BJPsych Bulletin,CUP:BJB,2056-4694,https://www.cambridge.org/core/product/identifier/BJB/type/journal,2056-4708,OA_Gold,Total_Item_Investigations,11,0,0,0,0,11,0,0,0,0,0,0,0
BJPsych Bulletin,CUP:BJB,2056-4694,https://www.cambridge.org/core/product/identifier/BJB/type/journal,2056-4708,OA_Gold,Total_Item_Requests,9,0,0,0,0,9,0,0,0,0,0,0,0
BJPsych Bulletin,CUP:BJB,2056-4694,https://www.cambridge.org/core/product/identifier/BJB/type/journal,2056-4708,OA_Gold,Unique_Item_Investigations,10,0,0,0,0,10,0,0,0,0,0,0,0
BJPsych Bulletin,CUP:BJB,2056-4694,https://www.cambridge.org/core/product/identifier/BJB/type/journal,2056-4708,OA_Gold,Unique_Item_Requests,9,0,0,0,0,9,0,0,0,0,0,0,0
World Politics,CUP:WPO,0043-8871,https://www.cambridge.org/core/product/identifier/WPO/type/journal,1086-3338,Controlled,Total_Item_Investigations,2,0,0,0,0,2,0,0,0,0,0,0,0
World Politics,CUP:WPO,0043-8871,https://www.cambridge.org/core/product/identifier/WPO/type/journal,1086-3338,Controlled,Total_Item_Requests,1,0,0,0,0,1,0,0,0,0,0,0,0
World Politics,CUP:WPO,0043-8871,https://www.cambridge.org/core/product/identifier/WPO/type/journal,1086-3338,Controlled,Unique_Item_Investigations,2,0,0,0,0,2,0,0,0,0,0,0,0
World Politics,CUP:WPO,0043-8871,https://www.cambridge.org/core/product/identifier/WPO/type/journal,1086-3338,Controlled,Unique_Item_Requests,1,0,0,0,0,1,0,0,0,0,0,0,0
Modern American History,CUP:MAH,2515-0456,https://www.cambridge.org/core/product/identifier/MAH/type/journal,2397-1851,Controlled,Total_Item_Investigations,1,0,0,0,0,1,0,0,0,0,0,0,0
Modern American History,CUP:MAH,2515-0456,https://www.cambridge.org/core/product/identifier/MAH/type/journal,2397-1851,Controlled,Total_Item_Requests,1,0,0,0,0,1,0,0,0,0,0,0,0
Modern American History,CUP:MAH,2515-0456,https://www.cambridge.org/core/product/identifier/MAH/type/journal,2397-1851,Controlled,Unique_Item_Investigations,1,0,0,0,0,1,0,0,0,0,0,0,0
Modern American History,CUP:MAH,2515-0456,https://www.cambridge.org/core/product/identifier/MAH/type/journal,2397-1851,Controlled,Unique_Item_Requests,1,0,0,0,0,1,0,0,0,0,0,0,0
World Trade Review,CUP:WTR,1474-7456,https://www.cambridge.org/core/product/identifier/WTR/type/journal,1475-3138,Controlled,Total_Item_Investigations,2,0,0,0,0,1,0,0,0,0,0,1,0
World Trade Review,CUP:WTR,1474-7456,https://www.cambridge.org/core/product/identifier/WTR/type/journal,1475-3138,Controlled,Unique_Item_Investigations,2,0,0,0,0,1,0,0,0,0,0,1,0
Wireless Power Transfer,CUP:WPT,,https://www.cambridge.org/core/product/identifier/WPT/type/journal,2052-8418,OA_Gold,Total_Item_Investigations,3,0,0,0,0,3,0,0,0,0,0,0,0
Wireless Power Transfer,CUP:WPT,,https://www.cambridge.org/core/product/identifier/WPT/type/journal,2052-8418,OA_Gold,Total_Item_Requests,1,0,0,0,0,1,0,0,0,0,0,0,0
Wireless Power Transfer,CUP:WPT,,https://www.cambridge.org/core/product/identifier/WPT/type/journal,2052-8418,OA_Gold,Unique_Item_Investigations,2,0,0,0,0,2,0,0,0,0,0,0,0
Wireless Power Transfer,CUP:WPT,,https://www.cambridge.org/core/product/identifier/WPT/type/journal,2052-8418,OA_Gold,Unique_Item_Requests,1,0,0,0,0,1,0,0,0,0,0,0,0
